name,yearpublished,average_rating
Conan,2016,8.63274
Scythe,2016,8.384
The Guardians: Explore,2016,9.1
The Networks,2016,8.22667
Battles: The Knights,2016,8.33333
Immortal,2016,8.55556
Revolver Expansion 2.1: The Savage Guns,2016,9.0
Virgin Seas,2016,8.5
Millennium Blades,2016,8.27273
The Fungus Kingdom,2016,9.0
Salvation Road,2016,8.55
Inis,2016,9.5
Cultists of Cthulhu,2016,9.31
Lisboa,2016,9.5
V-Commandos,2016,8.065
The Nightmare Forest: Dead Run,2016,9.0
Darkrock Ventures,2016,8.87778
Terraforming Mars,2016,8.35714
Roll Player,2016,8.66667
Solar 3X,2016,8.3
Commissioned,2016,8.30556
The Others: 7 Sins,2016,8.66667
Gloomhaven,2016,9.78571
Alien Frontiers Big Box,2016,8.81
Myth: Blackwall Warrens,2016,10.0
Myth: Shores of Kanis,2016,10.0
Alien Frontiers: Galactic Pack,2016,9.24
Aura,2016,10.0
Foe Hunters,2016,8.20833
Vinhos Deluxe Edition,2016,10.0
Conspiracy!,2016,8.5
The Manhattan Project: Energy Empire,2016,8.19231
Dungeon Dice: Colosseum,2016,8.91667
HOPE,2016,8.33333
Smash Up: It's Your Fault,2016,9.0
Shadows over Europe,2016,10.0
1.500 m,2016,8.5
Treasure Mountain,2016,8.28571
Fate Of Akalon: Tribes,2016,8.25
World's Fair 1893,2016,8.6
Alkemia,2016,8.8
Spheres of Influence: Struggle for Global Supremacy,2016,8.125
Fell,2016,8.66667
Unfair,2016,9.0
Zpocalypse 2: Defend the Burbs,2016,9.0
The Kids vs. The House,2016,9.0
One Night Ultimate Vampire,2016,8.33286
Masmorra: Dungeons of Arcadia,2016,10.0
The Exodus Fleet,2016,10.0
Feline Fortunes,2016,9.0
The Voyages of Marco Polo,2015,8.03507
Forbidden Stars,2015,8.38007
Codenames,2015,8.06556
Star Wars: Armada,2015,8.25458
Cthulhu Wars,2015,8.21312
Summoner Wars: Alliances Master Set,2015,8.75975
DC Comics Dice Masters: Justice League,2015,8.09554
Baseball Highlights: 2045,2015,8.10857
Zombicide Season 3: Rue Morgue,2015,8.0091
Ashes: Rise of the Phoenixborn,2015,8.19041
Churchill,2015,8.03429
Marvel Dice Masters: Age of Ultron,2015,8.15764
The Voyages of Marco Polo,2015,8.03507
Forbidden Stars,2015,8.38007
Codenames,2015,8.06556
Star Wars: Armada,2015,8.25458
Cthulhu Wars,2015,8.21312
Summoner Wars: Alliances Master Set,2015,8.75975
DC Comics Dice Masters: Justice League,2015,8.09554
Baseball Highlights: 2045,2015,8.10857
Zombicide Season 3: Rue Morgue,2015,8.0091
Ashes: Rise of the Phoenixborn,2015,8.19041
Churchill,2015,8.03429
Marvel Dice Masters: Age of Ultron,2015,8.15764
Glenn Drover's Empires: Age of Discovery  Deluxe Edition,2015,8.38157
Pathfinder Adventure Card Game: Wrath of the Righteous  Base Set,2015,8.31379
Legendary Encounters: A Predator Deck Building Game,2015,8.39067
Blood Rage,2015,8.44178
W1815,2015,8.07549
Triumph and Tragedy,2015,8.49965
The Great War,2015,8.12179
Enemy Action: Ardennes,2015,9.14444
Wing Leader: Victories 1940-1942,2015,8.45574
BattleCON: Fate of Indines,2015,8.948
Champions of Midgard,2015,8.03507
The King's Armory,2015,8.07
A Game of Thrones: The Card Game (Second Edition),2015,8.54196
Journey: Wrath of Demons,2015,8.25385
Waterloo 200,2015,8.76857
Waterloo 1815: Fallen Eagles,2015,8.6
Trickerion: Legends of Illusion,2015,8.60972
T.I.M.E Stories,2015,8.4025
The Gallerist,2015,8.7339
Secrets of the Lost Tomb,2015,8.19012
Skull Tales,2015,9.145
Far Space Foundry,2015,8.27143
Burgle Bros.,2015,8.07286
Maze Racers,2015,8.15968
The King's Abbey,2015,9.04333
Monkeys Need Love Too,2015,8.13333
